variant,backbone,completed_rows,total_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,blocked_rows
future_center_selector,DLinear,8,8,5.648922074387425,1.8056805920488777,-27.76531025808861,-15.967397357651787,0
future_center_selector,PatchTST,8,8,5.815322895714727,1.847592314094849,-0.4722183744035747,-0.21845342328097167,0
future_center_selector_drift,DLinear,8,8,5.636603920367677,1.8036290008530111,-27.856492279676978,-16.04193214086328,0
future_center_selector_drift,PatchTST,8,8,5.835382787384155,1.8521610448349117,-0.041025954881305726,0.07471684978400667,0
future_center_static,DLinear,8,8,5.645053291756932,1.8046580719484069,-27.803479320152928,-16.012777955860425,0
future_center_static,PatchTST,8,8,5.8418211825954085,1.851711530952227,-0.09557355510148519,-0.016456755193080014,0
raw_no_correction,DLinear,8,8,9.180323123453949,2.2483446980850332,0.0,0.0,0
raw_no_correction,PatchTST,8,8,5.844938262863285,1.8516697711273498,0.0,0.0,0
unified_revin_rdn_hybrid,DLinear,8,8,5.655497250632147,1.8081324433262052,-27.567475740429863,-15.808043899286229,0
unified_revin_rdn_hybrid,PatchTST,8,8,5.825162314542845,1.8498515115411975,-0.29072934136697576,-0.08577329750233026,0
future_center_selector,ALL,16,16,5.732122485051077,1.8266364530718633,-14.118764316246093,-8.09292539046638,0
future_center_selector_drift,ALL,16,16,5.735993353875917,1.8278950228439617,-13.948759117279142,-7.983607645539638,0
future_center_static,ALL,16,16,5.743437237176171,1.8281848014503166,-13.949526437627208,-8.014617355526754,0
raw_no_correction,ALL,16,16,7.512630693158616,2.0500072346061917,0.0,0.0,0
unified_revin_rdn_hybrid,ALL,16,16,5.740329782587495,1.8289919774337011,-13.92910254089842,-7.94690859839428,0
