dataset,backbone,horizon,seed,method,count,mse_delta_pct_vs_lrbn,harm_rate,q4_gain,low_gap_harm,high_repair_harm,mean_A,A_gt_1_rate
ETTh1,DLinear,96,2026,bp,96,-7.050908740255108,0.4583333333333333,19.22449462652496,0.5,0.6666666666666666,17.576732407236317,0.5416666666666666
ETTh1,DLinear,192,2026,bp,96,-4.00199638773231,0.4166666666666667,10.561850013409268,0.5,0.4857142857142857,6.752898603805527,0.5833333333333334
ETTh1,PatchTST,96,2026,bp,96,-5.065733309933413,0.40625,9.907569729581752,0.39285714285714285,0.375,8.398263468941824,0.59375
ETTh1,PatchTST,192,2026,bp,96,-3.1780365760456597,0.4270833333333333,11.342846383277822,0.4666666666666667,0.4,-2.5826064369509134,0.5729166666666666
ETTm1,DLinear,96,2026,bp,96,-11.340649049138701,0.3541666666666667,23.76208436823505,0.5555555555555556,0.5333333333333333,-2.7777650333180284,0.6458333333333334
ETTm1,DLinear,192,2026,bp,96,-3.2883729995730664,0.4270833333333333,10.713727850711523,0.5,0.6,59.67576464110025,0.5729166666666666
ETTm1,PatchTST,96,2026,bp,96,-9.236916349815013,0.4166666666666667,21.677203201476747,0.6153846153846154,0.42857142857142855,-6.483121159482084,0.5833333333333334
ETTm1,PatchTST,192,2026,bp,96,-2.4596274018595117,0.4791666666666667,6.7970608104962835,0.6875,0.75,-8.770037957547974,0.5208333333333334
ETTh1,DLinear,96,2026,stage3,96,-1.5826203803364463,0.0,7.023418609919613,0.0,0.0,0.13465283513774698,0.020833333333333332
ETTh1,DLinear,192,2026,stage3,96,0.16348991943889402,0.010416666666666666,-3.105134700967702,0.0,0.0,0.16273432945322944,0.010416666666666666
ETTh1,PatchTST,96,2026,stage3,96,-0.21870539726467908,0.0,-0.0,0.0,0.0,0.04617405605537689,0.010416666666666666
ETTh1,PatchTST,192,2026,stage3,96,-0.21595406222930918,0.0,-0.0,0.0,0.0,0.24242918044131856,0.010416666666666666
ETTm1,DLinear,96,2026,stage3,96,-1.7752088176403515,0.020833333333333332,4.274683999207892,0.0,0.0,0.6673849426205066,0.041666666666666664
ETTm1,DLinear,192,2026,stage3,96,0.13826963255146796,0.03125,-0.6447910513734731,0.0,0.0,-0.058987723469911844,0.03125
ETTm1,PatchTST,96,2026,stage3,96,-2.5143327379273774,0.041666666666666664,6.421878857611079,0.0,0.14285714285714285,-7.38758358161089,0.03125
ETTm1,PatchTST,192,2026,stage3,96,-0.4482861403077511,0.041666666666666664,1.1130481386820583,0.0,0.0,-0.16650962078351586,0.041666666666666664
ETTh1,DLinear,96,2026,repair_gate,96,-1.4778934164981055,0.17708333333333334,3.8377697363434637,0.08333333333333333,0.0,28.8201479967499,0.4270833333333333
ETTh1,DLinear,192,2026,repair_gate,96,-0.22687560492487052,0.10416666666666667,-0.8299396036276323,0.0,0.0,0.5459496636833258,0.1875
ETTh1,PatchTST,96,2026,repair_gate,96,-2.112162070162661,0.22916666666666666,4.667537840128237,0.10714285714285714,0.0,9.880854885745865,0.46875
ETTh1,PatchTST,192,2026,repair_gate,96,-1.4358523277217712,0.28125,4.7645176092870365,0.23333333333333334,0.0,1.8736373239828872,0.4375
ETTm1,DLinear,96,2026,repair_gate,96,-3.5849267326856906,0.0625,7.473766993353885,0.0,0.0,26.02123461171064,0.23958333333333334
ETTm1,DLinear,192,2026,repair_gate,96,-1.3329729586654977,0.28125,5.06593073811235,0.14285714285714285,0.0,-26.361362936454015,0.3854166666666667
ETTm1,PatchTST,96,2026,repair_gate,96,-4.455921170227825,0.2708333333333333,10.993933667989078,0.23076923076923078,0.0,-1.331912285215882,0.5104166666666666
ETTm1,PatchTST,192,2026,repair_gate,96,-1.790439093641582,0.34375,4.788215658784029,0.375,0.0,10.827337934182182,0.4791666666666667
