split,method,mean_mse,mean_mae,lrbn_mse,lrbn_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,coverage,mean_strength,test_threshold_leakage,param_alpha,param_anchor_mode,param_bridge_mode,param_gap_tau_quantile,param_gap_tau,param_gap_temp,param_boundary_clip,param_norm_clip,param_k_value,param_conflict_eta,param_high_repair,param_tau,q4_improvement_pct_vs_lrbn,low_delta_pct_vs_lrbn,config_improved_ratio
val,LRBN,8.79717792520947,2.3053724718885635,8.79717792520947,2.3053724718885635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,-0.0,0.0,1.0
test,LRBN,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,-0.0,0.0,1.0
val,LRBN-BP-always,8.419232644426494,2.2301619219390045,8.79717792520947,2.3053724718885635,-0.37794528078297623,-4.296210484390716,-0.07521054994955859,-3.2624033877573853,0.453125,0.546875,1.5083466614992624,0.9863322476677141,1.529248029529021,1.0,1.0,False,0.5,last,linear,,,,,,,,,,10.425734823886799,-0.5821147646647141,1.0
test,LRBN-BP-always,4.6439807089980585,1.6218519507831555,4.894157596003544,1.682162338434372,-0.2501768870054856,-5.111745618870136,-0.06031038765121658,-3.5852893573173152,0.4231770833333333,0.5768229166666666,0.7355440434720207,0.4114158831935147,1.7878357536519578,1.0,1.0,False,0.5,last,linear,,,,,,,,,,14.16433542017276,0.1621114515413528,1.0
val,LRBN-BP-gap-strength,8.595428551267338,2.270086922792442,8.79717792520947,2.3053724718885635,-0.2017493739421319,-2.2933419720278514,-0.03528554909612119,-1.5305790874720389,0.40625,0.5885416666666666,0.47551922009315356,0.19227938555944463,2.473063838741594,0.8346354166666666,0.2031890247489637,False,0.3,last,linear,0.8,5.265299801054961,0.25,,,,,,,7.40906408110612,-1.0425513983406733e-08,1.0
test,LRBN-BP-gap-strength,4.782061219810229,1.6571992154110748,4.894157596003544,1.682162338434372,-0.11209637619331488,-2.290412063064929,-0.02496312302329685,-1.4839901182267536,0.36328125,0.6354166666666666,0.20480818536367534,0.04966443563084898,4.12383915217729,0.8736979166666666,0.19368746211849033,False,0.3,last,linear,0.8,5.265299801054961,0.25,,,,,,,9.713604906543212,3.1563410872665916e-09,1.0
val,LRBN-BP-bounded,8.656150236497943,2.2811643506054025,8.79717792520947,2.3053724718885635,-0.14102768871152693,-1.6031014690186352,-0.024208121283160716,-1.0500741842519852,0.4140625,0.5859375,0.43368296745671814,0.2731071397014796,1.5879590407309232,1.0,0.7750206835379659,False,0.3,last,linear,,,,3.0,0.3,,,,,2.2547111958013746,-0.43161730007576715,1.0
test,LRBN-BP-bounded,4.806174852587541,1.662432385737172,4.894157596003544,1.682162338434372,-0.08798274341600294,-1.7977096468670413,-0.019729952697199783,-1.1728923023133444,0.3658854166666667,0.6341145833333334,0.21872601190693083,0.138607903399235,1.5780196566189562,1.0,0.7718906088835342,False,0.3,last,linear,,,,3.0,0.3,,,,,3.281651494456492,0.050409781152718186,1.0
val,LRBN-BP-robust-anchor,8.658420053958276,2.282429991922108,8.79717792520947,2.3053724718885635,-0.13875787125119252,-1.5772998144761283,-0.022942479966455334,-0.99517453889538,0.40234375,0.59765625,0.35522274447370816,0.18278703751623365,1.9433693431814976,1.0,1.0,False,0.1,last_plus_slope,linear,,,,,,,,,,3.5636866073854265,-0.2242364897071676,1.0
test,LRBN-BP-robust-anchor,4.812578611496462,1.6637632961521263,4.894157596003544,1.682162338434372,-0.08157898450708263,-1.6668646797767912,-0.018399042282245478,-1.0937732793371686,0.3645833333333333,0.6354166666666666,0.17326990896057531,0.07822519811186168,2.215013716713929,1.0,1.0,False,0.1,last_plus_slope,linear,,,,,,,,,,4.477076459081313,-0.06052533677818571,1.0
val,LRBN-BP-short-bridge,8.743596129438458,2.2940877287419634,8.79717792520947,2.3053724718885635,-0.05358179577101188,-0.6090793680159358,-0.011284743146599661,-0.4894976076644948,0.17578125,0.82421875,0.06720798050113393,0.010309870408004832,6.518793413835536,1.0,1.0,False,0.5,last,short_linear,,,,,,4.0,,,,1.0612515360424724,-0.061032170065243446,1.0
test,LRBN-BP-short-bridge,4.8645506578563635,1.6732937656901887,4.894157596003544,1.682162338434372,-0.029606938147181128,-0.6049445181508359,-0.008868572744183014,-0.5272126529545426,0.17317708333333334,0.8268229166666666,0.036602169014529055,0.003791344565344679,9.65411395417761,1.0,1.0,False,0.5,last,short_linear,,,,,,4.0,,,,1.6950243462544996,-0.026224489931601286,1.0
val,LRBN-BP-conflict-filter,8.668318126075494,2.2841394511159745,8.79717792520947,2.3053724718885635,-0.12885979913397472,-1.4647856401566235,-0.021233020772588738,-0.9210234328465189,0.4088541666666667,0.5911458333333334,0.3330811179195398,0.16641561082986772,2.0015015192597807,1.0,0.9647738904893003,False,0.1,last,linear,,,,,,,-0.5,,,3.256878317433145,-0.15573665080146235,1.0
test,LRBN-BP-conflict-filter,4.822250734989772,1.6666920867817396,4.894157596003544,1.682162338434372,-0.07190686101377201,-1.4692387700299256,-0.015470251652632135,-0.9196646011623616,0.3606770833333333,0.6393229166666666,0.1474663837056565,0.062027166573647825,2.377447948651389,1.0,0.8387362756158808,False,0.1,last,linear,,,,,,,-0.5,,,4.292584684192028,0.015450911543862586,1.0
val,LRBN-BP-repair-gate,8.643574208138046,2.278363813573033,8.79717792520947,2.3053724718885635,-0.15360371707142387,-1.7460567264036542,-0.027008658315530492,-1.171552906426858,0.265625,0.3880208333333333,0.6757751019659237,0.4088888513479988,1.65271095851834,0.6536458333333334,0.5563261149231946,False,0.2,last,linear,,,,,,,,0.3,,4.096030459836537,0.0043451651696954875,0.875
test,LRBN-BP-repair-gate,4.808633649594314,1.6616259914409826,4.894157596003544,1.682162338434372,-0.08552394640923015,-1.7474702143698884,-0.020536346993389087,-1.2208302612707465,0.21875,0.3919270833333333,0.31531943120991973,0.17398070209462554,1.812381541687346,0.6106770833333334,0.5234139101430886,False,0.2,last,linear,,,,,,,,0.3,,5.396814767821747,0.04847180015389707,1.0
val,LRBN-BP-safe-controller,8.781250566894622,2.3024468918790615,8.79717792520947,2.3053724718885635,-0.015927358314846343,-0.1810507691460983,-0.002925580009501579,-0.1269027036839362,0.12760416666666666,0.6354166666666666,0.025740169675773226,0.00335705730587084,7.667457137591138,0.7630208333333334,0.25140724365847467,False,0.5,hybrid,short_linear,0.6,3.116005981912195,0.5,2.0,0.2,8.0,-0.2,0.5,,0.3375047093245816,-0.0004376119305236111,1.0
test,LRBN-BP-safe-controller,4.884224231747028,1.6796745333989944,4.894157596003544,1.682162338434372,-0.009933364256515493,-0.20296371829813556,-0.0024878050353774406,-0.1478932778214337,0.09244791666666667,0.6328125,0.015823598878269524,0.0008654268427477418,18.28394412702603,0.7252604166666666,0.23485970647395282,False,0.5,hybrid,short_linear,0.6,3.116005981912195,0.5,2.0,0.2,8.0,-0.2,0.5,,0.6072844989383837,-0.000199250876966675,1.0
val,LRBN-BP-stage3-gated,8.694683185861635,2.285228917264343,8.79717792520947,2.3053724718885635,-0.1024947393478341,-1.1650865777946104,-0.02014355462422003,-0.8737657269040849,0.01171875,0.0390625,3.6554299166891666,3.438548631282048,1.0630734935092427,0.05078125,0.05078125,False,0.5,last,linear,,,,,,,,,13.766675883152962,3.263914123659078,0.0,0.875
test,LRBN-BP-stage3-gated,4.864130971809323,1.6743534601010577,4.894157596003544,1.682162338434372,-0.03002662419422079,-0.6135197640016364,-0.007808878333314122,-0.4642166875618306,0.018229166666666668,0.024739583333333332,1.5555453914797617,0.4639225040681364,3.3530284569273965,0.04296875,0.04296875,False,0.5,last,linear,,,,,,,,,13.766675883152962,2.021083884267081,0.0,0.75
