variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,family_oracle
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0,
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0,
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0,
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0,
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0,
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0,
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0,
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0,
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0,
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0,
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0,
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0,
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0,
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0,
oracle_stage10_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0,
oracle_stage10_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0,
oracle_stage10_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0,
oracle_stage10_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0,
oracle_stage10_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0,
oracle_stage10_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0,
oracle_stage10_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0,
Safe-CGA,overall,768,4.831768165093751,4.894157596003544,-1.2747736369025215,0.052083333333333336,0.12760416666666666,0.1796875,
Safe-CGA,high_gap_low_repair,163,4.921489721515964,4.875331913757459,0.9467623636778012,0.06748466257668712,0.2392638036809816,0.3067484662576687,
Safe-CGA,q4_boundary,194,4.684461379629416,4.628772253626971,1.2031079264808904,0.07216494845360824,0.23195876288659795,0.30412371134020616,
Safe-CGA,low_gap_high_repair,114,5.6168224311117845,5.953046697432603,-5.647935970349934,0.03508771929824561,0.10526315789473684,0.14035087719298245,
Safe-CGA,non_boundary,574,4.881554778996334,4.983852293601202,-2.0525791771748656,0.04529616724738676,0.09233449477351917,0.13763066202090593,
Safe-CGA,amplitude_mismatch,378,4.716223260880077,4.717407120726903,-0.025095562329458643,0.05291005291005291,0.10317460317460317,0.15608465608465608,
Safe-CGA,known_harmed_config,96,4.533277704920659,3.994698335172625,13.48235394041399,0.2604166666666667,0.23958333333333334,0.5,
Balanced-CGA,overall,768,4.831768165093751,4.894157596003544,-1.2747736369025215,0.052083333333333336,0.12760416666666666,0.1796875,
Balanced-CGA,high_gap_low_repair,163,4.921489721515964,4.875331913757459,0.9467623636778012,0.06748466257668712,0.2392638036809816,0.3067484662576687,
Balanced-CGA,q4_boundary,194,4.684461379629416,4.628772253626971,1.2031079264808904,0.07216494845360824,0.23195876288659795,0.30412371134020616,
Balanced-CGA,low_gap_high_repair,114,5.6168224311117845,5.953046697432603,-5.647935970349934,0.03508771929824561,0.10526315789473684,0.14035087719298245,
Balanced-CGA,non_boundary,574,4.881554778996334,4.983852293601202,-2.0525791771748656,0.04529616724738676,0.09233449477351917,0.13763066202090593,
Balanced-CGA,amplitude_mismatch,378,4.716223260880077,4.717407120726903,-0.025095562329458643,0.05291005291005291,0.10317460317460317,0.15608465608465608,
Balanced-CGA,known_harmed_config,96,4.533277704920659,3.994698335172625,13.48235394041399,0.2604166666666667,0.23958333333333334,0.5,
family_oracle,overall,768,4.850900468720464,4.894157596003544,-0.8838523555109313,,,,amplitude
family_oracle,high_gap_low_repair,163,4.816570056022363,4.875331913757459,-1.2052893762730241,,,,amplitude
family_oracle,q4_boundary,194,4.578899117112555,4.628772253626971,-1.077459284534696,,,,amplitude
family_oracle,low_gap_high_repair,114,5.912641104327884,5.953046697432603,-0.6787380494473698,,,,amplitude
family_oracle,non_boundary,574,4.942831239124532,4.983852293601202,-0.8230792563220481,,,,amplitude
family_oracle,amplitude_mismatch,378,4.675979237388916,4.717407120726903,-0.8781918157571194,,,,amplitude
family_oracle,known_harmed_config,96,3.995032803123058,3.994698335172625,0.008372796179649268,,,,amplitude
family_oracle,overall,768,4.58595411172639,4.894157596003544,-6.297375546285809,,,,boundary
family_oracle,high_gap_low_repair,163,3.9014512061401887,4.875331913757459,-19.975680073628553,,,,boundary
family_oracle,q4_boundary,194,3.66562882133722,4.628772253626971,-20.80775154695253,,,,boundary
family_oracle,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,,,,boundary
family_oracle,non_boundary,574,4.897004819627956,4.983852293601202,-1.7425772009835119,,,,boundary
family_oracle,amplitude_mismatch,378,4.448852174817626,4.717407120726903,-5.692850722169821,,,,boundary
family_oracle,known_harmed_config,96,3.7908811520887116,3.994698335172625,-5.102192092432092,,,,boundary
family_oracle,overall,768,4.880514003227062,4.894157596003544,-0.2787730570782177,,,,ensemble
family_oracle,high_gap_low_repair,163,4.822472055818537,4.875331913757459,-1.0842309562829273,,,,ensemble
family_oracle,q4_boundary,194,4.579276672430936,4.628772253626971,-1.0693025791087722,,,,ensemble
family_oracle,low_gap_high_repair,114,5.952890003832866,5.953046697432603,-0.0026321580769995898,,,,ensemble
family_oracle,non_boundary,574,4.982325923391606,4.983852293601202,-0.030626313072974636,,,,ensemble
family_oracle,amplitude_mismatch,378,4.711954495762374,4.717407120726903,-0.11558521054952568,,,,ensemble
family_oracle,known_harmed_config,96,3.9902341162152415,3.994698335172625,-0.11175359367943576,,,,ensemble
family_oracle,overall,768,4.751281887923991,4.894157596003544,-2.919311546164577,,,,level
family_oracle,high_gap_low_repair,163,4.528419689512107,4.875331913757459,-7.115663705989962,,,,level
family_oracle,q4_boundary,194,4.278739248301649,4.628772253626971,-7.562113350788309,,,,level
family_oracle,low_gap_high_repair,114,5.944555944274216,5.953046697432603,-0.1426287004902113,,,,level
family_oracle,non_boundary,574,4.910991421176141,4.983852293601202,-1.4619388374012046,,,,level
family_oracle,amplitude_mismatch,378,4.597488794384987,4.717407120726903,-2.542038942554388,,,,level
family_oracle,known_harmed_config,96,3.906775495949212,3.994698335172625,-2.2009882005148844,,,,level
family_oracle,overall,768,4.462082330898155,4.894157596003544,-8.828388864620404,,,,residual
family_oracle,high_gap_low_repair,163,4.455901781766095,4.875331913757459,-8.603109255956166,,,,residual
family_oracle,q4_boundary,194,4.177515987149891,4.628772253626971,-9.748940772547064,,,,residual
family_oracle,low_gap_high_repair,114,5.520130703822511,5.953046697432603,-7.272175322756658,,,,residual
family_oracle,non_boundary,574,4.558259805962898,4.983852293601202,-8.539428171472535,,,,residual
family_oracle,amplitude_mismatch,378,4.261474542455173,4.717407120726903,-9.66489780587319,,,,residual
family_oracle,known_harmed_config,96,3.7086746515454294,3.994698335172625,-7.1600821617191555,,,,residual
family_oracle,overall,768,4.119199079005059,4.894157596003544,-15.834359646445833,,,,residual_distribution
family_oracle,high_gap_low_repair,163,4.156822551184576,4.875331913757459,-14.73765014996398,,,,residual_distribution
family_oracle,q4_boundary,194,3.932268370196849,4.628772253626971,-15.04727050201346,,,,residual_distribution
family_oracle,low_gap_high_repair,114,5.06328476304704,5.953046697432603,-14.946328797902114,,,,residual_distribution
family_oracle,non_boundary,574,4.182377750623166,4.983852293601202,-16.08142645798133,,,,residual_distribution
family_oracle,amplitude_mismatch,378,3.945646788468157,4.717407120726903,-16.3598415585518,,,,residual_distribution
family_oracle,known_harmed_config,96,3.4622842727181595,3.994698335172625,-13.328016697377379,,,,residual_distribution
family_oracle,overall,768,4.902738657410966,4.894157596003544,0.17533275587397482,,,,retrieval_memory
family_oracle,high_gap_low_repair,163,4.849642140707482,4.875331913757459,-0.526933826285564,,,,retrieval_memory
family_oracle,q4_boundary,194,4.557846754472823,4.628772253626971,-1.5322745452715816,,,,retrieval_memory
family_oracle,low_gap_high_repair,114,6.0272029670613385,5.953046697432603,1.2456860037088031,,,,retrieval_memory
family_oracle,non_boundary,574,5.019304910320372,4.983852293601202,0.7113496660716266,,,,retrieval_memory
family_oracle,amplitude_mismatch,378,4.726836235698328,4.717407120726903,0.19987918596231594,,,,retrieval_memory
family_oracle,known_harmed_config,96,3.969916342364544,3.994698335172625,-0.6203720698467434,,,,retrieval_memory
family_oracle,overall,768,4.348879980583524,4.894157596003544,-11.141398772102098,,,,smoothing_teacher
family_oracle,high_gap_low_repair,163,4.462742795207387,4.875331913757459,-8.462790328993366,,,,smoothing_teacher
family_oracle,q4_boundary,194,4.165361862895665,4.628772253626971,-10.011518483482071,,,,smoothing_teacher
family_oracle,low_gap_high_repair,114,5.228749470983435,5.953046697432603,-12.166832582463288,,,,smoothing_teacher
family_oracle,non_boundary,574,4.41090526774632,4.983852293601202,-11.496067518712087,,,,smoothing_teacher
family_oracle,amplitude_mismatch,378,4.142509140361096,4.717407120726903,-12.186736578685364,,,,smoothing_teacher
family_oracle,known_harmed_config,96,3.311907394163633,3.994698335172625,-17.09242806366362,,,,smoothing_teacher
family_oracle,overall,768,4.761939212485863,4.894157596003544,-2.7015554904789436,,,,volatility
family_oracle,high_gap_low_repair,163,4.700968716479638,4.875331913757459,-3.576437461173681,,,,volatility
family_oracle,q4_boundary,194,4.479986600036793,4.628772253626971,-3.214365389270493,,,,volatility
family_oracle,low_gap_high_repair,114,5.828629228663941,5.953046697432603,-2.0899797176682915,,,,volatility
family_oracle,non_boundary,574,4.857233301013944,4.983852293601202,-2.540584770053595,,,,volatility
family_oracle,amplitude_mismatch,378,4.594454685579887,4.717407120726903,-2.6063562406170835,,,,volatility
family_oracle,known_harmed_config,96,3.9901544829910534,3.994698335172625,-0.11374706646028711,,,,volatility
