selector,split,level,n,positive_rate,mean_score,roc_auc,pr_auc,candidate_top2_hit,family_top2_hit,family_top1_hit,family_minus_candidate_top2_pp
family_gain::amplitude,inner_calib,family,232.0,0.6982758620689655,0.6969006396925794,1.0,1.0,,,,
family_harm::amplitude,inner_calib,family,232.0,0.2974137931034483,0.3030993603074207,1.0,1.0,,,,
family_gain::boundary,inner_calib,family,232.0,0.3103448275862069,0.31513445079201363,1.0,1.0,,,,
family_harm::boundary,inner_calib,family,232.0,0.004310344827586207,0.0044742172506614,1.0,1.0,,,,
family_gain::ensemble,inner_calib,family,232.0,0.25,0.2573753822685636,1.0,1.0,,,,
family_harm::ensemble,inner_calib,family,232.0,0.02586206896551724,0.028091531442775527,1.0,1.0,,,,
family_gain::level,inner_calib,family,232.0,0.6939655172413793,0.6903656409969865,1.0,1.0,,,,
family_harm::level,inner_calib,family,232.0,0.30603448275862066,0.30755042988362413,1.0,1.0,,,,
family_gain::residual,inner_calib,family,232.0,0.7068965517241379,0.7029899177897442,1.0,1.0,,,,
family_harm::residual,inner_calib,family,232.0,0.021551724137931036,0.023768269472821655,1.0,1.0,,,,
family_gain::residual_distribution,inner_calib,family,232.0,0.9612068965517241,0.9605741664893795,1.0,1.0,,,,
family_harm::residual_distribution,inner_calib,family,232.0,0.034482758620689655,0.03517880850962948,1.0,1.0,,,,
family_gain::retrieval_memory,inner_calib,family,232.0,0.7456896551724138,0.7427234703635707,1.0,1.0,,,,
family_harm::retrieval_memory,inner_calib,family,232.0,0.25,0.25308993080387054,1.0,1.0,,,,
family_gain::smoothing_teacher,inner_calib,family,232.0,0.9353448275862069,0.9336467029287231,1.0,1.0,,,,
family_harm::smoothing_teacher,inner_calib,family,232.0,0.06465517241379311,0.06635329707127692,1.0,1.0,,,,
family_gain::volatility,inner_calib,family,232.0,0.8232758620689655,0.8208574565926479,1.0,1.0,,,,
family_harm::volatility,inner_calib,family,232.0,0.17672413793103448,0.17914254340735225,1.0,1.0,,,,
candidate_gain_global,inner_calib,candidate,5104.0,0.5113636363636364,0.50260209280228,0.7976960797868908,0.7899501450239382,,,,
candidate_harm_global,inner_calib,candidate,5104.0,0.27644984326018807,0.44961696961616904,0.7581460740462688,0.4758020214002885,,,,
leave_lrbn,inner_calib,sample,232.0,1.0,1.0,,,,,,
family_gain::amplitude,test,family,768.0,0.7174479166666666,0.7182221005095498,1.0,1.0,,,,
family_harm::amplitude,test,family,768.0,0.2734375,0.2817778994904501,1.0,1.0,,,,
family_gain::boundary,test,family,768.0,0.3671875,0.36976388359716594,1.0,0.9999999999999999,,,,
family_harm::boundary,test,family,768.0,0.0,0.00017041490618091248,,,,,,
family_gain::ensemble,test,family,768.0,0.21484375,0.21847062464795083,1.0,1.0,,,,
family_harm::ensemble,test,family,768.0,0.022135416666666668,0.023989131477769637,1.0,1.0,,,,
family_gain::level,test,family,768.0,0.7200520833333334,0.7162497710863948,1.0,0.9999999999999999,,,,
family_harm::level,test,family,768.0,0.2734375,0.27654869895479445,1.0,1.0,,,,
family_gain::residual,test,family,768.0,0.5833333333333334,0.5800802366351155,1.0,0.9999999999999999,,,,
family_harm::residual,test,family,768.0,0.01953125,0.021540005784827714,1.0,1.0,,,,
family_gain::residual_distribution,test,family,768.0,0.9453125,0.9455252158967906,1.0,1.0,,,,
family_harm::residual_distribution,test,family,768.0,0.041666666666666664,0.0432545973315209,1.0,1.0,,,,
family_gain::retrieval_memory,test,family,768.0,0.5481770833333334,0.5492272009174751,1.0,1.0,,,,
family_harm::retrieval_memory,test,family,768.0,0.4388020833333333,0.4399255029586027,1.0,0.9999999999999999,,,,
family_gain::smoothing_teacher,test,family,768.0,0.9049479166666666,0.9067591164469458,1.0,1.0,,,,
family_harm::smoothing_teacher,test,family,768.0,0.08723958333333333,0.09324088355305432,1.0,1.0,,,,
family_gain::volatility,test,family,768.0,0.8385416666666666,0.8391742975507261,1.0,1.0,,,,
family_harm::volatility,test,family,768.0,0.15364583333333334,0.16082570244927386,1.0,1.0,,,,
candidate_gain_global,test,candidate,16896.0,0.484375,0.5079286201579517,0.7822096627206931,0.7327071718620256,,,,
candidate_harm_global,test,candidate,16896.0,0.2962831439393939,0.43858159858340884,0.7455305609719136,0.5016605310663698,,,,
leave_lrbn,test,sample,768.0,1.0,1.0,,,,,,
topk,test,topk,,,,,,0.09375,0.6197916666666666,0.4244791666666667,52.604166666666664
