split,atom_id,n,coverage_within_oracle_selected,top_family_group,top_family_share,mean_A,A_gt1_rate,mean_delta_mse_vs_parent,cluster_share_js_vs_train
inner_calib,0,68,0.30357142857142855,residual_distribution,0.5588235294117647,6.759121998626567,1.0,-1.6042376565428458,0.023465917080729634
inner_calib,1,47,0.20982142857142858,residual_distribution,0.5531914893617021,6.174155646659358,1.0,-2.2137426090029955,0.023465917080729634
inner_calib,2,1,0.004464285714285714,retrieval_memory,1.0,4.4731145074253,1.0,-0.3027925247805916,0.023465917080729634
inner_calib,3,7,0.03125,smoothing_teacher,0.5714285714285714,3.0238475835018668,1.0,-2.7135019428288887,0.023465917080729634
inner_calib,4,101,0.45089285714285715,residual_distribution,0.31683168316831684,5.726079472736733,1.0,-1.3244427871661526,0.023465917080729634
inner_train,0,164,0.32093933463796476,residual_distribution,0.5182926829268293,5.7997135890922085,1.0,-1.5233971038729384,0.0
inner_train,1,108,0.21135029354207435,residual_distribution,0.5555555555555556,6.2255271647471435,1.0,-2.238945575607764,0.0
inner_train,2,1,0.0019569471624266144,old_residual,1.0,4.3898984031603945,1.0,-0.6148802883587949,0.0
inner_train,3,18,0.03522504892367906,smoothing_teacher,0.6111111111111112,4.136079146430237,1.0,-2.7323724116332158,0.0
inner_train,4,220,0.43052837573385516,old_residual,0.3,6.1618578327118625,1.0,-1.3163927842538088,0.0
test,0,220,0.3064066852367688,old_residual,0.41818181818181815,4.654234749779105,1.0,-0.747265975341209,0.13392023076417933
test,1,165,0.2298050139275766,residual_distribution,0.8848484848484849,8.504310672161775,1.0,-1.2603610712776459,0.13392023076417933
test,2,0,0.0,,0.0,,,,0.13392023076417933
test,3,92,0.12813370473537605,smoothing_teacher,0.6739130434782609,2.9809466640872593,1.0,-2.758749690391903,0.13392023076417933
test,4,241,0.33565459610027853,residual_distribution,0.5477178423236515,8.740614903552354,1.0,-0.6345810764487276,0.13392023076417933
