method,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,coverage
MRC-ridge-residual,overall,768,4.786188617410421,4.894157596003544,-2.206078906422641,-0.10796897859312347,0.4114583333333333,0.5885416666666666,1.0
MRC-ridge-residual,high_gap_low_repair,163,4.649222399011573,4.875331913757459,-4.637828116769977,-0.22610951474588725,0.37423312883435583,0.6257668711656442,1.0
MRC-ridge-residual,low_gap_high_repair,90,6.257896959863421,6.1664226048291715,1.483426627527441,0.09147435503424951,0.45555555555555555,0.5444444444444444,1.0
MRC-ridge-residual,non_boundary,605,4.823090259722838,4.899229639319431,-1.5541092181129017,-0.07613937959659374,0.4214876033057851,0.5785123966942148,1.0
MRC-ridge-residual,large_residual_norm,80,17.47226158515546,17.435865520738332,0.208742516125542,0.03639606441712993,0.45,0.55,1.0
MRC-ridge-residual,q4_boundary,194,4.35618855687942,4.628772253626971,-5.8888984210677435,-0.27258369674755006,0.36082474226804123,0.6391752577319587,1.0
MRC-ridge-abstain,overall,768,4.835279636495446,4.894157596003544,-1.2030254080063634,-0.058877959508098494,0.026041666666666668,0.07552083333333333,0.1015625
MRC-ridge-abstain,high_gap_low_repair,163,4.792409826494091,4.875331913757459,-1.7008500869302716,-0.08292208726336833,0.0736196319018405,0.17791411042944785,0.25153374233128833
MRC-ridge-abstain,low_gap_high_repair,90,6.1579465301209675,6.1664226048291715,-0.1374553000603707,-0.008476074708204785,0.0,0.011111111111111112,0.011111111111111112
MRC-ridge-abstain,non_boundary,605,4.846829684479282,4.899229639319431,-1.0695549829436661,-0.05239995484014976,0.013223140495867768,0.047933884297520664,0.06115702479338843
MRC-ridge-abstain,large_residual_norm,80,17.305079551549067,17.435865520738332,-0.7500973723311744,-0.1307859691892633,0.0125,0.0625,0.075
MRC-ridge-abstain,q4_boundary,194,4.504043933123684,4.628772253626971,-2.6946307443856146,-0.12472832050328644,0.08247422680412371,0.1958762886597938,0.27835051546391754
SRA-BP-safe,overall,768,4.813148680992863,4.894157596003544,-1.6552167202647812,-0.0810089150106816,0.03515625,0.15234375,0.1875
SRA-BP-safe,high_gap_low_repair,163,4.573197184275724,4.875331913757459,-6.197213527338204,-0.3021347294817357,0.15950920245398773,0.588957055214724,0.7484662576687117
SRA-BP-safe,low_gap_high_repair,90,6.1664226048291715,6.1664226048291715,0.0,0.0,0.0,0.0,0.0
SRA-BP-safe,non_boundary,605,4.8777967701910345,4.899229639319431,-0.4374742696818472,-0.0214328691283976,0.001652892561983471,0.03471074380165289,0.03636363636363636
SRA-BP-safe,large_residual_norm,80,17.305524024577604,17.435865520738332,-0.7475481841205086,-0.13034149616072763,0.025,0.15,0.175
SRA-BP-safe,q4_boundary,194,4.3080771673991185,4.628772253626971,-6.9282969211486956,-0.32069508622785287,0.13917525773195877,0.6030927835051546,0.7422680412371134
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,-0.12717508287845883,0.10416666666666667,0.33203125,0.4361979166666667
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,-0.38599551758170464,0.17791411042944785,0.7668711656441718,0.9447852760736196
SRA-BP-balanced,low_gap_high_repair,90,6.1664226048291715,6.1664226048291715,0.0,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,605,4.841786342980855,4.899229639319431,-1.1724965035381774,-0.05744329633857605,0.08429752066115702,0.21487603305785125,0.2991735537190083
SRA-BP-balanced,large_residual_norm,80,17.300898930778676,17.435865520738332,-0.7740745059183841,-0.13496658995965713,0.0875,0.25,0.3375
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,-0.397506584606567,0.16494845360824742,0.7731958762886598,0.9381443298969072
