split,head,expert,n,positive_rate,mean_probability,roc_auc,pr_auc,brier
inner_train,leave,,536,0.9720149253731343,0.865202250813861,0.9694177863083813,0.9991161115344296,0.07120952448121688
inner_calib,leave,,232,0.9913793103448276,0.8484263329112485,0.8195652173913044,0.9982537400746248,0.10260265898515296
inner_train,gain,sra_safe,536,0.166044776119403,0.20500777991541355,0.9918306814468492,0.9446805227692849,0.029891640285869
inner_train,harm,sra_safe,536,0.03917910447761194,0.11676769428989471,0.9907535829865927,0.7967014218396986,0.046580768223887785
inner_calib,gain,sra_safe,232,0.13793103448275862,0.18887589960808282,0.97484375,0.8528751746974214,0.04559949650718267
inner_calib,harm,sra_safe,232,0.05172413793103448,0.11588464030800485,0.9500000000000001,0.5414657853200857,0.05814583541843409
inner_train,gain,sra_balanced,536,0.31156716417910446,0.3649106386222648,0.9623679470327637,0.9013714853122771,0.07355366117099434
inner_train,harm,sra_balanced,536,0.11380597014925373,0.3009562256604787,0.9026402070750648,0.4681645254750791,0.13784886296916082
inner_calib,gain,sra_balanced,232,0.27586206896551724,0.34885161098840506,0.9430803571428572,0.8115113279939072,0.09234322995345634
inner_calib,harm,sra_balanced,232,0.1336206896551724,0.31755088759982614,0.8807575028085379,0.4775991385286323,0.1451910424106643
inner_train,gain,sra_basic_ablation,536,0.19776119402985073,0.27230648068028407,0.966213251426064,0.8358863665990932,0.06805563518478797
inner_train,harm,sra_basic_ablation,536,0.11380597014925373,0.24622287843488352,0.949853321829163,0.6632792650710316,0.09774630452832489
inner_calib,gain,sra_basic_ablation,232,0.1724137931034483,0.24507456679353481,0.9598958333333334,0.7220473983339575,0.06703909398032945
inner_calib,harm,sra_basic_ablation,232,0.10344827586206896,0.23441753792670234,0.8802083333333333,0.38421660312598166,0.1219341634752882
inner_train,gain,stage3_gated_bp,536,0.03544776119402985,0.0539216975854592,0.9986765753843022,0.961805895026524,0.008595748384999023
inner_train,harm,stage3_gated_bp,536,0.013059701492537313,0.03217905983758965,0.9967593842830138,0.7858070500927644,0.01072084594201047
inner_calib,gain,stage3_gated_bp,232,0.04741379310344827,0.05691992428440985,0.9905388728918141,0.8539501122505075,0.016467432639781718
inner_calib,harm,stage3_gated_bp,232,0.008620689655172414,0.03352720866378519,0.9782608695652173,0.2361111111111111,0.02257080479350165
inner_train,gain,mrc_ridge_abstain,536,0.16417910447761194,0.21768447354778728,0.9785663555194806,0.8593231736654587,0.04479986711922704
inner_train,harm,mrc_ridge_abstain,536,0.04664179104477612,0.12331317247053292,0.9816829745596869,0.6029287796051632,0.052217496972884116
inner_calib,gain,mrc_ridge_abstain,232,0.15086206896551724,0.18053678909743393,0.9650471356055111,0.8685998485385216,0.03374377694150768
inner_calib,harm,mrc_ridge_abstain,232,0.021551724137931036,0.09704766285576326,0.7832599118942731,0.1548752589000267,0.07139023378628968
inner_train,gain,mrc_ridge_residual_blend,536,0.6716417910447762,0.5224453096535523,0.7152777777777778,0.836208031229464,0.21653430699473164
inner_train,harm,mrc_ridge_residual_blend,536,0.32649253731343286,0.4775233776848874,0.7144914918876137,0.5149046799727972,0.2170945928088979
inner_calib,gain,mrc_ridge_residual_blend,232,0.7068965517241379,0.5296691749796574,0.604106886657102,0.784094204219659,0.2393168256438289
inner_calib,harm,mrc_ridge_residual_blend,232,0.28879310344827586,0.4679681732615678,0.6006331976481231,0.38934710657197846,0.24000132030179822
inner_train,gain,volatility_shrink,536,0.8339552238805971,0.6930981128732662,0.9249679511349068,0.985406295385712,0.12192633071086989
inner_train,harm,volatility_shrink,536,0.166044776119403,0.30690188712673394,0.9249679511349069,0.6322632651871014,0.12192633071086989
inner_calib,gain,volatility_shrink,232,0.8232758620689655,0.699043382836789,0.8877537990039588,0.9746665075582902,0.13404660648581426
inner_calib,harm,volatility_shrink,232,0.17672413793103448,0.30095661716321104,0.8877537990039587,0.6350664013978132,0.1340466064858143
inner_train,gain,level_bias_bounded,536,0.6660447761194029,0.5305721101611084,0.7496674647512638,0.8606563223760576,0.20338250380837583
inner_train,harm,level_bias_bounded,536,0.3283582089552239,0.46982911985532055,0.7439709595959596,0.5541236217414401,0.20580276220886082
inner_calib,gain,level_bias_bounded,232,0.6551724137931034,0.5296418925442998,0.6473684210526316,0.7931176618980076,0.2360350019489075
inner_calib,harm,level_bias_bounded,232,0.3448275862068966,0.4691642790168693,0.6528782894736842,0.48368050444579413,0.23132880896704697
inner_train,gain,level_bias_light,536,0.6791044776119403,0.5347958294920173,0.7577785586506516,0.8714077853715853,0.20099404989202563
inner_train,harm,level_bias_light,536,0.31529850746268656,0.4667955636854648,0.7478999725908131,0.5427838371354287,0.20527483912346237
inner_calib,gain,level_bias_light,232,0.6939655172413793,0.5351673119467475,0.6956521739130435,0.8546803983746198,0.22052297441279317
inner_calib,harm,level_bias_light,232,0.30603448275862066,0.46377678767050806,0.7036129822412737,0.4978341079712527,0.2153625749885243
inner_train,gain,amplitude_scale_bounded,536,0.6940298507462687,0.6103962098942581,0.9196007081038553,0.9678358170420063,0.11942046636965142
inner_train,harm,amplitude_scale_bounded,536,0.30597014925373134,0.3896037901057418,0.9196007081038553,0.8030796896717847,0.11942046636965142
inner_calib,gain,amplitude_scale_bounded,232,0.6982758620689655,0.5986907793106255,0.8824514991181659,0.9501335165122762,0.14577091252127483
inner_calib,harm,amplitude_scale_bounded,232,0.2974137931034483,0.40130922068937436,0.8757001867164577,0.6635160675740406,0.14969563716939618
inner_train,gain,ensemble_median,536,0.2630597014925373,0.31410466199032416,0.9801238890385133,0.9294212380248371,0.04977296415763153
inner_train,harm,ensemble_median,536,0.03917910447761194,0.1709259234936262,0.9573740175681923,0.43753944090587965,0.083662546947469
inner_calib,gain,ensemble_median,232,0.25,0.29513005977817336,0.9693816884661117,0.8916861309188918,0.05163754787885339
inner_calib,harm,ensemble_median,232,0.02586206896551724,0.14999555976011797,0.7337758112094396,0.0862360444003446,0.09030682100342001
